X,Y,OBJECTID,AUN,SCHOOL_NUM,LOCATION_ID,FACIL_NAME,FACILNAME_LABEL,FACIL_ADDRESS,ZIPCODE,FACIL_TELEPHONE,ACTIVE,GRADE_LEVEL,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECIFIC
-75.24056654135363,39.959111631592521,222,226515722,,,Sanctuary Christian Academy,Sanctuary Christian Acad,5923 WALNUT ST,19139,(215) 748-6510,Open,Elementary School,K-6,55,Private,Private
-75.092234280815305,40.049450204609592,223,226510912,,,Cedar Grove Christian Acad Lower School,Cedar Grove Christian Acad,600 Hellerman Street,19111,(215) 725-3383,Open,Elem/Middle,pre K-8,269,Private,Private
-75.148141999591743,39.942679731360116,224,226519162,,,St Peters School,St Peters School,311-21 LOMBARD ST,19147,(215) 925-3963,Open,Elem/Middle,pre K-8,209,Private,Private
-75.138251472831953,39.991261363356728,225,226519672,,,Timothy Academy,Timothy Acad,2637-47 N 04TH ST,19133,(215) 423-0416,Open,Elem/Middle,K-8,137,Private,Private
-75.164896391433942,39.97315271671998,226,226518302,,,St Joseph's Preparatory School,St. Joseph's Prep Sch,1733 W  GIRARD AVE,19130,215-978-1950,Open,High School,9-12,992,Private,Private
-75.174911867944928,39.937466574927548,227,226515682,,,Faith Connection Christian Academy,Faith Connection Christian Acad,1145 S 19th St,19145,(215) 748-6819,Open,Elem/Mid/High,K-12,145,Private,Private
-75.123947811041077,40.028399244754098,228,126513452,8205,3413,Olney Charter High School,Olney CHS,100 W  Duncannon Ave.,19120,(215)456-3014,Open,High School,9-12,2210,Charter,Charter
-75.073949792870181,40.019690606235301,229,126517286,8151,3409,Mastery Charter School at Smedley,Mastery CS at Smedley,1790 Bridge St.,19124 - 1359,215-537-2523,Open,Elementary School,K-6,682,Charter,Charter
-75.155936133503261,40.014300975928144,230,126513734,8207,3416,Mastery Charter School at Gratz,Mastery CS at Gratz,1798 Hunting Park Ave.,19140,215-227-4408,Open,High School,9-12,1756,Charter,Charter
-75.125652773525758,39.998933426518349,231,133513315,8149,3406,John B. Stetson Charter School,John B. Stetson CS,"3200 ""B"" St.",19134,291-4720,Open,Middle School,5-8,675,Charter,Charter
-75.169754230145074,39.984570770804751,232,126518547,8150,3412,Frederick Douglass Mastery Elementary,Frederick Douglass Mastery Elementary,2118 W Norris St,19121 - 2132,684-5063,Open,Elementary,K-5,769,Charter,Charter
-75.231135554862675,39.985555294953613,233,126519433,8152,3408,Mastery Charter School at Mann,Mastery CS at Mann,5376 W. Berks St.,19131 - 3229,215-581-5616,Open,Elementary School,K-6,496,Charter,Charter
-75.23602759097443,39.974291097121991,234,168513758,8145,3410,Universal Bluford Charter School,Universal Bluford CS,5720  Media St.,19131 - 3824,581-5502,Open,Elementary School,K-6,721,Charter,Charter
-75.185389961243885,39.925751992130472,235,126513415,8196,3418,Universal Vare Charter School,Universal Vare CS,2100 S 24th St.,19145,952-8611,Open,Middle School,5-8,626,Charter,Charter
-75.151054779080681,39.995836295030315,236,126511748,8208,3415,Mastery Charter School at Clymer,Mastery CS at Clymer,1201 W.  Rush St.,19133 - 1236,215-223-2243,Open,Elem/Middle,K-8,550,Charter,Charter
-75.235958180844932,39.948923885547345,237,126516457,8153,3407,Mastery Charter School at Harrity,Mastery CS at Harrity,5601 Christian St.,19143 - 2805,215-471-2908,Open,Elem/Middle,K-8,569,Charter,Charter
